	Name	Team	Position	Eff
1	Dwight Howard	ATL	C	25.2424242424242
2	Isaiah Thomas	BOS	PG	25.1818181818182
3	Brook Lopez	BRO	C	19.625
4	Kemba Walker	CHA	PG	22.5675675675676
5	Jimmy Butler	CHI	SG	27.4594594594595
6	Lebron James	CLE	SF	31.34375
7	Harrison Barnes	DAL	SF	18.1891891891892
8	Nikola Jokic	DEN	C	20.3939393939394
9	Andre Drummond	DET	C	24.1351351351351
10	Kevin Durant	GSW	SF	31.8108108108108
11	James Harden	HOU	SG	33.7631578947368
12	Paul George	IND	SF	21.8064516129032
13	Chris Paul	LAC	PG	26
14	Julius Randle	LAL	PF	19.4857142857143
15	Marc Gasol	MEM	C	21.7297297297297
16	Hassan Whiteside	MIA	C	27.3235294117647
17	Gi Antetokounmpo	MIL	SF	32.1142857142857
18	Karl-antho Towns	MIN	PF	26.1351351351351
19	Anthony Davis	NOR	PF	33.9166666666667
20	Krista Porzingis	NYK	PF	21.4411764705882
21	Russel Westbrook	OKC	PG	35.1842105263158
22	Nikola Vucevic	ORL	C	19.2285714285714
23	Joel Embiid	PHI	C	20.6666666666667
24	Eric Bledsoe	PHO	PG	20.9189189189189
25	Damian Lillard	POR	PG	25.6060606060606
26	Demarcus Cousins	SAC	C	30.3428571428571
27	Kawhi Leonard	SAN	SF	24.4571428571429
28	Kyle Lowry	TOR	PG	25.8333333333333
29	Rudy Gobert	UTA	C	24.8684210526316
30	John Wall	WAS	PG	26.6969696969697
